Time point: 267.0 | correctWork: 1.0
Time point: 267.0 | stress: 2.0
Time point: 692.0 | correctWork: 2.0
Time point: 692.0 | stress: 3.0
Time point: 876.0 | correctWork: 3.0
Time point: 876.0 | stress: 4.0
Time point: 998.0 | correctWork: 4.0
Time point: 998.0 | stress: 5.0
Time point: 1120.0 | correctWork: 5.0
Time point: 1120.0 | stress: 6.0
Time point: 1366.0 | correctWork: 6.0
Time point: 1366.0 | stress: 7.0
Time point: 1516.0 | correctWork: 7.0
Time point: 1516.0 | stress: 8.0
Time point: 1607.0 | correctWork: 8.0
Time point: 1607.0 | stress: 9.0
Time point: 2311.0 | mistakes: 1.0
Time point: 2311.0 | stress: 17.0
Time point: 2522.0 | correctWork: 9.0
Time point: 2522.0 | stress: 18.0
Time point: 2826.0 | correctWork: 10.0
Time point: 2826.0 | stress: 19.0
Time point: 2918.0 | correctWork: 11.0
Time point: 2918.0 | stress: 20.0
Time point: 3011.0 | correctWork: 12.0
Time point: 3011.0 | stress: 21.0
Time point: 3133.0 | correctWork: 13.0
Time point: 3133.0 | stress: 22.0
Time point: 3405.0 | mistakes: 2.0
Time point: 3405.0 | stress: 30.0
Time point: 3589.0 | mistakes: 3.0
Time point: 3589.0 | stress: 38.0
Time point: 3833.0 | correctWork: 14.0
Time point: 3833.0 | stress: 39.0
Time point: 4109.0 | correctWork: 15.0
Time point: 4109.0 | stress: 40.0
Time point: 4627.0 | correctWork: 16.0
Time point: 4627.0 | stress: 41.0
Time point: 4719.0 | correctWork: 17.0
Time point: 4719.0 | stress: 42.0
Time point: 4808.0 | correctWork: 18.0
Time point: 4808.0 | stress: 43.0
Time point: 4934.0 | mistakes: 4.0
Time point: 4934.0 | stress: 51.0
Time point: 5328.0 | mistakes: 5.0
Time point: 5328.0 | stress: 59.0
Time point: 5787.0 | correctWork: 19.0
Time point: 5787.0 | stress: 60.0
Time point: 6063.0 | correctWork: 20.0
Time point: 6063.0 | stress: 61.0
Time point: 6215.0 | correctWork: 21.0
Time point: 6215.0 | stress: 62.0
Time point: 6455.0 | mistakes: 6.0
Time point: 6455.0 | stress: 70.0
Time point: 6581.0 | correctWork: 22.0
Time point: 6581.0 | stress: 71.0
Time point: 7251.0 | correctWork: 23.0
Time point: 7251.0 | stress: 72.0
Time point: 7342.0 | mistakes: 7.0
Time point: 7342.0 | stress: 80.0
Time point: 7463.0 | mistakes: 8.0
Time point: 7463.0 | stress: 88.0
Time point: 7619.0 | mistakes: 9.0
Time point: 7619.0 | stress: 96.0
Time point: 7952.0 | mistakes: 10.0
Time point: 7952.0 | stress: 104.0
Time point: 7980.0 | stress: 94.0
Time point: 7981.0 | stress: 84.0
Time point: 7982.0 | stress: 74.0
Time point: 7983.0 | stress: 64.0
Time point: 7984.0 | stress: 54.0
Time point: 7985.0 | stress: 44.0
Time point: 7986.0 | stress: 34.0
Time point: 7987.0 | stress: 24.0
Time point: 7988.0 | stress: 14.0
Time point: 7989.0 | stress: 4.0
Time point: 8439.0 | correctWork: 24.0
Time point: 8439.0 | stress: 5.0
Time point: 8683.0 | correctWork: 25.0
Time point: 8683.0 | stress: 6.0
Time point: 9169.0 | correctWork: 26.0
Time point: 9169.0 | stress: 7.0
Time point: 9234.0 | correctWork: 27.0
Time point: 9234.0 | stress: 8.0
Time point: 9323.0 | correctWork: 28.0
Time point: 9323.0 | stress: 9.0
Time point: 9477.0 | correctWork: 29.0
Time point: 9477.0 | stress: 10.0
Time point: 9905.0 | correctWork: 30.0
Time point: 9905.0 | stress: 11.0
Time point: 10026.0 | correctWork: 31.0
Time point: 10026.0 | stress: 12.0
Time point: 10514.0 | correctWork: 32.0
Time point: 10514.0 | stress: 13.0
Time point: 10848.0 | correctWork: 33.0
Time point: 10848.0 | stress: 14.0
Time point: 11246.0 | correctWork: 34.0
Time point: 11246.0 | stress: 15.0
Time point: 11429.0 | mistakes: 11.0
Time point: 11429.0 | stress: 23.0
Time point: 11796.0 | correctWork: 35.0
Time point: 11796.0 | stress: 24.0
Time point: 11885.0 | mistakes: 12.0
Time point: 11885.0 | stress: 32.0
Time point: 12556.0 | correctWork: 36.0
Time point: 12556.0 | stress: 33.0
Time point: 12771.0 | correctWork: 37.0
Time point: 12771.0 | stress: 34.0
Time point: 13138.0 | mistakes: 13.0
Time point: 13138.0 | stress: 42.0
Time point: 13412.0 | mistakes: 14.0
Time point: 13412.0 | stress: 50.0
Time point: 13562.0 | correctWork: 38.0
Time point: 13562.0 | stress: 51.0
Time point: 13687.0 | mistakes: 15.0
Time point: 13687.0 | stress: 59.0
Time point: 14111.0 | mistakes: 16.0
Time point: 14111.0 | stress: 67.0
Time point: 14480.0 | correctWork: 39.0
Time point: 14480.0 | stress: 68.0
Time point: 14751.0 | correctWork: 40.0
Time point: 14751.0 | stress: 69.0
Time point: 15026.0 | correctWork: 41.0
Time point: 15026.0 | stress: 70.0
Time point: 15240.0 | mistakes: 17.0
Time point: 15240.0 | stress: 78.0
Time point: 15303.0 | correctWork: 42.0
Time point: 15303.0 | stress: 79.0
Time point: 15394.0 | mistakes: 18.0
Time point: 15394.0 | stress: 87.0
Time point: 15760.0 | mistakes: 19.0
Time point: 15760.0 | stress: 95.0
Time point: 15913.0 | mistakes: 20.0
Time point: 15913.0 | stress: 103.0
Time point: 15941.0 | stress: 93.0
Time point: 15942.0 | stress: 83.0
Time point: 15943.0 | stress: 73.0
Time point: 15944.0 | stress: 63.0
Time point: 15945.0 | stress: 53.0
Time point: 15946.0 | stress: 43.0
Time point: 15947.0 | stress: 33.0
Time point: 15948.0 | stress: 23.0
Time point: 15949.0 | stress: 13.0
Time point: 15950.0 | stress: 3.0
Time point: 16155.0 | correctWork: 43.0
Time point: 16155.0 | stress: 4.0
Time point: 16309.0 | correctWork: 44.0
Time point: 16309.0 | stress: 5.0
Time point: 16431.0 | correctWork: 45.0
Time point: 16431.0 | stress: 6.0
Time point: 16518.0 | correctWork: 46.0
Time point: 16518.0 | stress: 7.0
Time point: 17285.0 | correctWork: 47.0
Time point: 17285.0 | stress: 8.0
Time point: 17407.0 | correctWork: 48.0
Time point: 17407.0 | stress: 9.0
Time point: 17651.0 | correctWork: 49.0
Time point: 17651.0 | stress: 10.0
Time point: 17833.0 | correctWork: 50.0
Time point: 17833.0 | stress: 11.0
Time point: 17954.0 | correctWork: 51.0
Time point: 17954.0 | stress: 12.0
Time point: 18412.0 | correctWork: 52.0
Time point: 18412.0 | stress: 13.0
Time point: 18506.0 | correctWork: 53.0
Time point: 18506.0 | stress: 14.0
Time point: 18721.0 | correctWork: 54.0
Time point: 18721.0 | stress: 15.0
Time point: 18840.0 | correctWork: 55.0
Time point: 18840.0 | stress: 16.0
Time point: 18992.0 | mistakes: 21.0
Time point: 18992.0 | stress: 24.0
Time point: 19296.0 | correctWork: 56.0
Time point: 19296.0 | stress: 25.0
Time point: 19421.0 | correctWork: 57.0
Time point: 19421.0 | stress: 26.0
Time point: 19570.0 | mistakes: 22.0
Time point: 19570.0 | stress: 34.0
Time point: 20090.0 | correctWork: 58.0
Time point: 20090.0 | stress: 35.0
Time point: 20335.0 | correctWork: 59.0
Time point: 20335.0 | stress: 36.0
Time point: 20488.0 | correctWork: 60.0
Time point: 20488.0 | stress: 37.0
Time point: 20762.0 | correctWork: 61.0
Time point: 20762.0 | stress: 38.0
Time point: 21128.0 | correctWork: 62.0
Time point: 21128.0 | stress: 39.0
Time point: 21432.0 | correctWork: 63.0
Time point: 21432.0 | stress: 40.0
Time point: 21556.0 | correctWork: 64.0
Time point: 21556.0 | stress: 41.0
Time point: 21799.0 | correctWork: 65.0
Time point: 21799.0 | stress: 42.0
Time point: 22439.0 | mistakes: 23.0
Time point: 22439.0 | stress: 50.0
Time point: 22714.0 | correctWork: 66.0
Time point: 22714.0 | stress: 51.0
Time point: 23080.0 | mistakes: 24.0
Time point: 23080.0 | stress: 59.0
Time point: 23325.0 | correctWork: 67.0
Time point: 23325.0 | stress: 60.0
Time point: 23566.0 | correctWork: 68.0
Time point: 23566.0 | stress: 61.0
Time point: 23876.0 | mistakes: 25.0
Time point: 23876.0 | stress: 69.0
Time point: 23994.0 | mistakes: 26.0
