Time point: 514.0 | correctWork: 1.0
Time point: 514.0 | stress: 2.0
Time point: 633.0 | correctWork: 2.0
Time point: 633.0 | stress: 3.0
Time point: 1059.0 | correctWork: 3.0
Time point: 1059.0 | stress: 4.0
Time point: 1303.0 | correctWork: 4.0
Time point: 1303.0 | stress: 5.0
Time point: 1821.0 | correctWork: 5.0
Time point: 1821.0 | stress: 6.0
Time point: 1974.0 | correctWork: 6.0
Time point: 1974.0 | stress: 7.0
Time point: 2341.0 | mistakes: 1.0
Time point: 2341.0 | stress: 15.0
Time point: 2492.0 | correctWork: 7.0
Time point: 2492.0 | stress: 16.0
Time point: 2583.0 | correctWork: 8.0
Time point: 2583.0 | stress: 17.0
Time point: 2766.0 | correctWork: 9.0
Time point: 2766.0 | stress: 18.0
Time point: 2950.0 | correctWork: 10.0
Time point: 2950.0 | stress: 19.0
Time point: 3287.0 | mistakes: 2.0
Time point: 3287.0 | stress: 27.0
Time point: 3531.0 | mistakes: 3.0
Time point: 3531.0 | stress: 35.0
Time point: 3620.0 | correctWork: 11.0
Time point: 3620.0 | stress: 36.0
Time point: 4048.0 | correctWork: 12.0
Time point: 4048.0 | stress: 37.0
Time point: 4200.0 | correctWork: 13.0
Time point: 4200.0 | stress: 38.0
Time point: 4322.0 | correctWork: 14.0
Time point: 4322.0 | stress: 39.0
Time point: 4565.0 | correctWork: 15.0
Time point: 4565.0 | stress: 40.0
Time point: 5207.0 | correctWork: 16.0
Time point: 5207.0 | stress: 41.0
Time point: 5451.0 | correctWork: 17.0
Time point: 5451.0 | stress: 42.0
Time point: 5572.0 | mistakes: 4.0
Time point: 5572.0 | stress: 50.0
Time point: 5694.0 | mistakes: 5.0
Time point: 5694.0 | stress: 58.0
Time point: 5878.0 | correctWork: 18.0
Time point: 5878.0 | stress: 59.0
Time point: 6515.0 | correctWork: 19.0
Time point: 6515.0 | stress: 60.0
Time point: 6704.0 | correctWork: 20.0
Time point: 6704.0 | stress: 61.0
Time point: 7281.0 | correctWork: 21.0
Time point: 7281.0 | stress: 62.0
Time point: 7403.0 | mistakes: 6.0
Time point: 7403.0 | stress: 70.0
Time point: 7525.0 | mistakes: 7.0
Time point: 7525.0 | stress: 78.0
Time point: 7678.0 | mistakes: 8.0
Time point: 7678.0 | stress: 86.0
Time point: 7922.0 | mistakes: 9.0
Time point: 7922.0 | stress: 94.0
Time point: 8013.0 | mistakes: 10.0
Time point: 8013.0 | stress: 102.0
Time point: 8040.0 | stress: 92.0
Time point: 8041.0 | stress: 82.0
Time point: 8042.0 | stress: 72.0
Time point: 8043.0 | stress: 62.0
Time point: 8044.0 | stress: 52.0
Time point: 8045.0 | stress: 42.0
Time point: 8046.0 | stress: 32.0
Time point: 8047.0 | stress: 22.0
Time point: 8048.0 | stress: 12.0
Time point: 8049.0 | stress: 2.0
Time point: 8288.0 | correctWork: 22.0
Time point: 8288.0 | stress: 3.0
Time point: 8378.0 | correctWork: 23.0
Time point: 8378.0 | stress: 4.0
Time point: 8531.0 | correctWork: 24.0
Time point: 8531.0 | stress: 5.0
Time point: 8625.0 | correctWork: 25.0
