Time point: 356.0 | correctWork: 1.0
Time point: 356.0 | stress: 2.0
Time point: 450.0 | correctWork: 2.0
Time point: 450.0 | stress: 3.0
Time point: 694.0 | correctWork: 3.0
Time point: 694.0 | stress: 4.0
Time point: 1761.0 | mistakes: 1.0
Time point: 1761.0 | stress: 12.0
Time point: 2033.0 | correctWork: 4.0
Time point: 2033.0 | stress: 13.0
Time point: 2219.0 | correctWork: 5.0
Time point: 2219.0 | stress: 14.0
Time point: 2373.0 | mistakes: 2.0
Time point: 2373.0 | stress: 22.0
Time point: 2553.0 | correctWork: 6.0
Time point: 2553.0 | stress: 23.0
Time point: 2645.0 | correctWork: 7.0
Time point: 2645.0 | stress: 24.0
Time point: 2950.0 | correctWork: 8.0
Time point: 2950.0 | stress: 25.0
Time point: 3162.0 | correctWork: 9.0
Time point: 3162.0 | stress: 26.0
Time point: 3254.0 | mistakes: 3.0
Time point: 3254.0 | stress: 34.0
Time point: 3346.0 | mistakes: 4.0
Time point: 3346.0 | stress: 42.0
Time point: 3654.0 | correctWork: 10.0
Time point: 3654.0 | stress: 43.0
Time point: 3742.0 | correctWork: 11.0
Time point: 3742.0 | stress: 44.0
Time point: 3896.0 | mistakes: 5.0
Time point: 3896.0 | stress: 52.0
Time point: 4050.0 | correctWork: 12.0
Time point: 4050.0 | stress: 53.0
Time point: 4415.0 | mistakes: 6.0
Time point: 4415.0 | stress: 61.0
Time point: 4691.0 | mistakes: 7.0
Time point: 4691.0 | stress: 69.0
Time point: 4780.0 | correctWork: 13.0
Time point: 4780.0 | stress: 70.0
Time point: 4903.0 | correctWork: 14.0
Time point: 4903.0 | stress: 71.0
Time point: 4992.0 | correctWork: 15.0
Time point: 4992.0 | stress: 72.0
Time point: 5268.0 | correctWork: 16.0
Time point: 5268.0 | stress: 73.0
Time point: 5481.0 | correctWork: 17.0
Time point: 5481.0 | stress: 74.0
Time point: 5574.0 | mistakes: 8.0
Time point: 5574.0 | stress: 82.0
Time point: 5759.0 | mistakes: 9.0
Time point: 5759.0 | stress: 90.0
Time point: 6094.0 | mistakes: 10.0
Time point: 6094.0 | stress: 98.0
Time point: 6122.0 | stress: 88.0
Time point: 6123.0 | stress: 78.0
Time point: 6124.0 | stress: 68.0
Time point: 6125.0 | stress: 58.0
Time point: 6126.0 | stress: 48.0
Time point: 6127.0 | stress: 38.0
Time point: 6128.0 | stress: 28.0
Time point: 6129.0 | stress: 18.0
Time point: 6130.0 | stress: 8.0
Time point: 6213.0 | correctWork: 18.0
Time point: 6213.0 | stress: 9.0
Time point: 6336.0 | correctWork: 19.0
Time point: 6336.0 | stress: 10.0
Time point: 6672.0 | correctWork: 20.0
Time point: 6672.0 | stress: 11.0
Time point: 6853.0 | correctWork: 21.0
Time point: 6853.0 | stress: 12.0
Time point: 7283.0 | correctWork: 22.0
Time point: 7283.0 | stress: 13.0
