Time point: 205.0 | correctWork: 1.0
Time point: 205.0 | stress: 2.0
Time point: 298.0 | correctWork: 2.0
Time point: 298.0 | stress: 3.0
Time point: 572.0 | correctWork: 3.0
Time point: 572.0 | stress: 4.0
Time point: 692.0 | correctWork: 4.0
Time point: 692.0 | stress: 5.0
Time point: 813.0 | correctWork: 5.0
Time point: 813.0 | stress: 6.0
Time point: 969.0 | correctWork: 6.0
Time point: 969.0 | stress: 7.0
Time point: 1267.0 | correctWork: 7.0
Time point: 1267.0 | stress: 8.0
Time point: 1425.0 | correctWork: 8.0
Time point: 1425.0 | stress: 9.0
Time point: 1824.0 | correctWork: 9.0
Time point: 1824.0 | stress: 10.0
Time point: 1913.0 | correctWork: 10.0
Time point: 1913.0 | stress: 11.0
Time point: 2188.0 | correctWork: 11.0
Time point: 2188.0 | stress: 12.0
