Time point: 880.0 | correctWork: 1.0
Time point: 880.0 | stress: 2.0
Time point: 1334.0 | correctWork: 2.0
Time point: 1334.0 | stress: 3.0
Time point: 1699.0 | correctWork: 3.0
Time point: 1699.0 | stress: 4.0
Time point: 1789.0 | correctWork: 4.0
Time point: 1789.0 | stress: 5.0
Time point: 1973.0 | correctWork: 5.0
Time point: 1973.0 | stress: 6.0
Time point: 2402.0 | correctWork: 6.0
Time point: 2402.0 | stress: 7.0
Time point: 2889.0 | correctWork: 7.0
Time point: 2889.0 | stress: 8.0
Time point: 3100.0 | correctWork: 8.0
Time point: 3100.0 | stress: 9.0
Time point: 3377.0 | correctWork: 9.0
Time point: 3377.0 | stress: 10.0
Time point: 3500.0 | correctWork: 10.0
Time point: 3500.0 | stress: 11.0
Time point: 3682.0 | correctWork: 11.0
Time point: 3682.0 | stress: 12.0
Time point: 3836.0 | correctWork: 12.0
Time point: 3836.0 | stress: 13.0
Time point: 3925.0 | correctWork: 13.0
Time point: 3925.0 | stress: 14.0
Time point: 4233.0 | mistakes: 1.0
Time point: 4233.0 | stress: 22.0
Time point: 4352.0 | correctWork: 14.0
Time point: 4352.0 | stress: 23.0
Time point: 4536.0 | mistakes: 2.0
Time point: 4536.0 | stress: 31.0
Time point: 4629.0 | correctWork: 15.0
Time point: 4629.0 | stress: 32.0
Time point: 4748.0 | mistakes: 3.0
Time point: 4748.0 | stress: 40.0
Time point: 4874.0 | correctWork: 16.0
Time point: 4874.0 | stress: 41.0
Time point: 5237.0 | correctWork: 17.0
Time point: 5237.0 | stress: 42.0
Time point: 5329.0 | correctWork: 18.0
Time point: 5329.0 | stress: 43.0
Time point: 5419.0 | correctWork: 19.0
Time point: 5419.0 | stress: 44.0
Time point: 5514.0 | correctWork: 20.0
Time point: 5514.0 | stress: 45.0
Time point: 5634.0 | correctWork: 21.0
Time point: 5634.0 | stress: 46.0
Time point: 5816.0 | correctWork: 22.0
Time point: 5816.0 | stress: 47.0
Time point: 6151.0 | correctWork: 23.0
Time point: 6151.0 | stress: 48.0
Time point: 6427.0 | correctWork: 24.0
Time point: 6427.0 | stress: 49.0
Time point: 6732.0 | mistakes: 4.0
Time point: 6732.0 | stress: 57.0
Time point: 6823.0 | correctWork: 25.0
Time point: 6823.0 | stress: 58.0
Time point: 7099.0 | correctWork: 26.0
Time point: 7099.0 | stress: 59.0
Time point: 7249.0 | correctWork: 27.0
Time point: 7249.0 | stress: 60.0
