Time point: 179.0 | correctWork: 1.0
Time point: 179.0 | stress: 2.0
Time point: 722.0 | correctWork: 2.0
Time point: 722.0 | stress: 3.0
Time point: 936.0 | correctWork: 3.0
Time point: 936.0 | stress: 4.0
Time point: 1001.0 | correctWork: 4.0
Time point: 1001.0 | stress: 5.0
Time point: 1211.0 | mistakes: 1.0
Time point: 1211.0 | stress: 13.0
Time point: 1424.0 | correctWork: 5.0
Time point: 1424.0 | stress: 14.0
Time point: 1851.0 | correctWork: 6.0
Time point: 1851.0 | stress: 15.0
Time point: 1972.0 | correctWork: 7.0
Time point: 1972.0 | stress: 16.0
Time point: 2064.0 | correctWork: 8.0
Time point: 2064.0 | stress: 17.0
Time point: 2156.0 | correctWork: 9.0
Time point: 2156.0 | stress: 18.0
Time point: 2462.0 | correctWork: 10.0
Time point: 2462.0 | stress: 19.0
Time point: 2826.0 | mistakes: 2.0
Time point: 2826.0 | stress: 27.0
Time point: 3193.0 | correctWork: 11.0
Time point: 3193.0 | stress: 28.0
Time point: 3440.0 | correctWork: 12.0
Time point: 3440.0 | stress: 29.0
