edHello.agents.Patient@99fa758 | total wait time: 35 | dealt at time point: 35.0
edHello.agents.Patient@b322e7f | total wait time: 35 | dealt at time point: 137.0
edHello.agents.Patient@1a8f2b89 | total wait time: 11 | dealt at time point: 213.0
edHello.agents.Patient@1c395162 | total wait time: 40 | dealt at time point: 344.0
edHello.agents.Patient@1fe3b2f9 | total wait time: 33 | dealt at time point: 437.0
edHello.agents.Patient@6a2bd185 | total wait time: 5 | dealt at time point: 510.0
edHello.agents.Patient@34ac610 | total wait time: 6 | dealt at time point: 612.0
edHello.agents.Patient@4224f8f6 | total wait time: 5 | dealt at time point: 713.0
edHello.agents.Patient@65708637 | total wait time: 6 | dealt at time point: 815.0
edHello.agents.Patient@fb3df64 | total wait time: 6 | dealt at time point: 916.0
edHello.agents.Patient@50be50eb | total wait time: 25 | dealt at time point: 1036.0
edHello.agents.Patient@75986695 | total wait time: 44 | dealt at time point: 1155.0
edHello.agents.Patient@3c07528f | total wait time: 6 | dealt at time point: 1218.0
edHello.agents.Patient@1cb1b52c | total wait time: 23 | dealt at time point: 1336.0
edHello.agents.Patient@15fc6ff3 | total wait time: 5 | dealt at time point: 1420.0
edHello.agents.Patient@466a4bb7 | total wait time: 33 | dealt at time point: 1548.0
edHello.agents.Patient@47b8d88 | total wait time: 4 | dealt at time point: 1621.0
edHello.agents.Patient@68255a2c | total wait time: 5 | dealt at time point: 1723.0
edHello.agents.Patient@21c371fb | total wait time: 6 | dealt at time point: 1825.0
edHello.agents.Patient@2b44bfb4 | total wait time: 6 | dealt at time point: 1926.0
edHello.agents.Patient@54b3e55c | total wait time: 6 | dealt at time point: 2027.0
edHello.agents.Patient@28152f0b | total wait time: 5 | dealt at time point: 2127.0
edHello.agents.Patient@5ce99c1c | total wait time: 4 | dealt at time point: 2227.0
edHello.agents.Patient@22b3584e | total wait time: 6 | dealt at time point: 2329.0
edHello.agents.Patient@69124a84 | total wait time: 6 | dealt at time point: 2431.0
edHello.agents.Patient@625d6247 | total wait time: 5 | dealt at time point: 2531.0
edHello.agents.Patient@4983c6ca | total wait time: 6 | dealt at time point: 2632.0
edHello.agents.Patient@2bb8de34 | total wait time: 5 | dealt at time point: 2733.0
edHello.agents.Patient@69b195e4 | total wait time: 6 | dealt at time point: 2835.0
edHello.agents.Patient@40d0aad8 | total wait time: 5 | dealt at time point: 2934.0
edHello.agents.Patient@10a8d97e | total wait time: 5 | dealt at time point: 3036.0
edHello.agents.Patient@2b2d47e4 | total wait time: 7 | dealt at time point: 3138.0
edHello.agents.Patient@2e67bdfb | total wait time: 6 | dealt at time point: 3238.0
edHello.agents.Patient@75301221 | total wait time: 6 | dealt at time point: 3339.0
edHello.agents.Patient@3b5f01f | total wait time: 6 | dealt at time point: 3441.0
edHello.agents.Patient@68179427 | total wait time: 5 | dealt at time point: 3541.0
edHello.agents.Patient@d0c432c | total wait time: 6 | dealt at time point: 3643.0
edHello.agents.Patient@7cfebd0b | total wait time: 5 | dealt at time point: 3742.0
edHello.agents.Patient@29f48281 | total wait time: 6 | dealt at time point: 3845.0
edHello.agents.Patient@37410faa | total wait time: 6 | dealt at time point: 3945.0
edHello.agents.Patient@2ec66fbf | total wait time: 5 | dealt at time point: 4045.0
edHello.agents.Patient@bff93e9 | total wait time: 6 | dealt at time point: 4148.0
edHello.agents.Patient@33518fce | total wait time: 5 | dealt at time point: 4247.0
edHello.agents.Patient@381440cd | total wait time: 5 | dealt at time point: 4348.0
edHello.agents.Patient@6cb02c39 | total wait time: 6 | dealt at time point: 4451.0
edHello.agents.Patient@3a7c2327 | total wait time: 6 | dealt at time point: 4551.0
edHello.agents.Patient@784b48ea | total wait time: 6 | dealt at time point: 4652.0
edHello.agents.Patient@4c309b7c | total wait time: 4 | dealt at time point: 4752.0
edHello.agents.Patient@35826ff6 | total wait time: 5 | dealt at time point: 4853.0
edHello.agents.Patient@c4c523c | total wait time: 5 | dealt at time point: 4955.0
edHello.agents.Patient@56d3f533 | total wait time: 6 | dealt at time point: 5057.0
edHello.agents.Patient@7892e443 | total wait time: 6 | dealt at time point: 5157.0
edHello.agents.Patient@500bb234 | total wait time: 6 | dealt at time point: 5258.0
edHello.agents.Patient@4c5f1c6d | total wait time: 6 | dealt at time point: 5359.0
edHello.agents.Patient@3322c76 | total wait time: 6 | dealt at time point: 5461.0
edHello.agents.Patient@55a47bd9 | total wait time: 6 | dealt at time point: 5562.0
edHello.agents.Patient@7b106dd1 | total wait time: 5 | dealt at time point: 5661.0
edHello.agents.Patient@52b2dbb6 | total wait time: 5 | dealt at time point: 5762.0
edHello.agents.Patient@25de23a4 | total wait time: 6 | dealt at time point: 5864.0
edHello.agents.Patient@7760e2b2 | total wait time: 6 | dealt at time point: 5965.0
edHello.agents.Patient@675a57b5 | total wait time: 6 | dealt at time point: 6067.0
edHello.agents.Patient@3564a832 | total wait time: 5 | dealt at time point: 6167.0
edHello.agents.Patient@64afcb81 | total wait time: 5 | dealt at time point: 6268.0
edHello.agents.Patient@2368b44f | total wait time: 5 | dealt at time point: 6369.0
edHello.agents.Patient@5cc4487f | total wait time: 4 | dealt at time point: 6469.0
